latitude,longitude,altitude,distance
-12.46332,130.83807,37.7,0.0
-12.46194,130.836647,29.3,218.0
-12.46052,130.83519,31.3,442.0
-12.45974,130.8342,28.4,587.0
-12.45946,130.83426,28.7,626.0
-12.45857,130.83516,26.7,765.0
-12.45746,130.83626,28.1,942.0
-12.45703,130.83669,27.9,1008.9999999999999
-12.45668,130.83705,28.1,1064.0
-12.45329,130.8405,21.3,1597.0
-12.45232,130.84092,25.1,1717.0
-12.45196,130.84093,25.0,1757.0
-12.44846,130.84094,30.5,2147.0
-12.44697,130.84093,27.2,2313.0
-12.44595,130.840945,27.9,2426.0
-12.44426,130.84108,27.2,2615.0
-12.44403,130.84112,27.3,2641.0
-12.44192,130.8413,24.5,2878.0
-12.43999,130.84092,27.0,3103.0
-12.43906,130.841065,24.6,3208.0
-12.437043,130.842123,27.8,3475.0
-12.43575,130.84386,26.0,3713.0
-12.43529,130.844615,26.3,3809.0
-12.43506,130.84502,26.1,3860.0
-12.43466,130.84571,26.3,3948.0
-12.43417,130.84656,25.6,4054.9999999999995
-12.43374,130.84737,27.0,4155.0
-12.43317,130.84859,26.0,4302.0
-12.43258,130.8499,27.0,4459.0
-12.43225,130.85061,26.8,4545.0
-12.43192,130.85132,27.3,4630.0
-12.430957,130.853423,25.2,4883.0
-12.430345,130.854745,28.0,5042.0
-12.428645,130.85842,18.7,5484.0
-12.42835,130.85906,20.1,5561.0
-12.42711,130.86179,16.0,5888.0
-12.42653,130.86358,18.5,6094.0
-12.42647,130.86412,18.4,6153.0
-12.42527,130.86949,27.8,6757.0
-12.42526,130.87056,27.4,6873.0
-12.425123,130.8795,35.7,7846.0
-12.4251,130.880705,32.7,7977.0
-12.425085,130.881795,33.2,8095.000000000001
-12.42511,130.8836,32.3,8292.0
-12.425157,130.88425,33.6,8362.0
-12.42529,130.88606,33.1,8560.0
-12.425395,130.887434,33.4,8710.0
-12.425525,130.889161,32.1,8898.0
-12.425655,130.890889,32.8,9086.0
-12.42572,130.891752,32.1,9180.0
-12.42585,130.89348,34.0,9369.0
-12.425985,130.89535,32.8,9573.0
-12.42605,130.89621,33.4,9666.0
-12.42615,130.897545,32.8,9812.0
-12.42634,130.90013,34.1,10094.0
-12.42642,130.90104,32.8,10193.0
-12.42686,130.90487,36.9,10613.0
-12.42719,130.90625,34.8,10767.0
