Length,Mean,Median
10,2.8242666666666665,2.7518
20,11.314599999999999,11.973799999999999
30,30.516366666666666,30.2959
40,53.60883333333334,53.383199999999995
50,101.27703333333332,100.92099999999999
60,159.647,157.8177
70,282.43309999999997,281.9351
80,447.0974,444.7655
90,625.0293333333334,624.31
100,904.5501333333333,907.2432
110,1046.4297333333334,1044.4409
120,1320.5328333333332,1317.5257
130,1577.2382,1576.2522
140,2239.9308,2232.6551999999997
150,2621.9902333333334,2620.4148999999998
160,3328.0243666666665,3362.8401999999996
170,3160.100033333333,3186.4188
180,4382.942566666667,4356.8045
190,4386.642699999999,4386.1849999999995
200,5761.4869,5761.4869
210,6673.9495,6673.9495
220,8219.903,8219.903
230,11421.9456,11421.9456
240,10314.948,10314.948
250,12826.5121,12826.5121
260,13653.2796,13653.2796
270,16163.118999999999,16163.118999999999
280,17498.4315,17498.4315
290,24127.7587,24127.7587
300,18452.831299999998,18452.831299999998
310,27306.2002,27306.2002
320,22495.4784,22495.4784
330,27418.694499999998,27418.694499999998
340,37049.161,37049.161
350,31306.957499999997,31306.957499999997
360,38570.688799999996,38570.688799999996
370,37023.9189,37023.9189
380,51585.031299999995,51585.031299999995
390,45770.843,45770.843
400,49329.619099999996,49329.619099999996
410,53498.4686,53498.4686
420,59908.994399999996,59908.994399999996
430,62090.6611,62090.6611
440,69466.5129,69466.5129
450,66134.5247,66134.5247
460,80926.09659999999,80926.09659999999
470,86055.30309999999,86055.30309999999
480,92095.45939999999,92095.45939999999
490,82903.1854,82903.1854
500,92014.89099999999,92014.89099999999
